chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1602508150,2020-10-12T13:09:10Z,9A1AYZ-11,9A1AYZ-11,32(13/6),1,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.7C / 14.0V
0,1602508351,2020-10-12T13:12:31Z,9A1AYZ-12,9A7KXP-4,25(12/5),1,T,9A1AYZ-12,/j,,,,,,,,,Open Track,,"Seq=26, A1=535, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602508499,2020-10-12T13:14:59Z,9A1AYZ-11,9A1AYZ-11,34(14/6),0,T,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=184, A1=227, A2=144, A3=0, A4=1, A5=135, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602508661,2020-10-12T13:17:41Z,9A7KXP-5,9A7KXP-4?,29(12/5),0,`,9A7KXP-5,/>,45.753333,15.980000,48.0,86.0,118.0,144.725,,,Unknown manufacturer,Off Duty,,"144.725,438.750 FM,438,4625 Mhz C4FM   "
0,1602508937,2020-10-12T13:22:17Z,OE4EIE-11,9A7KXP-4?,29(11/5),1,`,OE4EIE-11,/>,47.284000,15.991667,1.0,197.0,363.0,,,,Yaesu FTM-350,En Route,,THOMAS SWIFT
0,1602509305,2020-10-12T13:28:25Z,HG3PMF-1,9A7KXP-4?,26(11/5),1,T,HG3PMF-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=164, A1=186, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602509427,2020-10-12T13:30:27Z,OE4EIE-11,9A7KXP-4?,29(11/5),1,`,OE4EIE-11,/>,47.279167,16.152000,45.0,121.0,356.0,,,,Yaesu FTM-350,En Route,,
0,1602509679,2020-10-12T13:34:39Z,OE4EIE-11,9A7KXP-4?,27(11/5),1,`,OE4EIE-11,/>,47.277500,16.216167,32.0,58.0,316.0,,,,Yaesu FTM-350,En Route,,
0,1602509742,2020-10-12T13:35:42Z,OE4EIE-11,9A7KXP-4?,30(12/5),1,`,OE4EIE-11,/>,47.274667,16.218333,44.0,166.0,312.0,,,,Yaesu FTM-350,En Route,,
0,1602509884,2020-10-12T13:38:04Z,9A1AYZ-11,9A1AYZ-11,33(13/5),0,!,9A1AYZ-11,/I,45.742000,15.605167,,,,,,,SQ3PLX http://microsat.com.pl/,,,iGate&W1 JAPETIC   RK Dubrava  https://www.croatia-digital-group.com
0,1602509890,2020-10-12T13:38:10Z,9A1AYZ-11,9A1AYZ-11,29(13/5),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.8C / 14.0V
0,1602510010,2020-10-12T13:40:10Z,OE4EIE-11,9A7KXP-4?,29(12/5),0,`,OE4EIE-11,/>,47.234167,16.214500,48.0,169.0,339.0,,,,Yaesu FTM-350,En Route,,THOMAS SWIFT
0,1602510067,2020-10-12T13:41:07Z,OE4EIE-11,9A7KXP-4?,29(12/5),1,`,OE4EIE-11,/>,47.228333,16.222000,34.0,138.0,388.0,,,,Yaesu FTM-350,En Route,,THOMAS SWIFT
0,1602510138,2020-10-12T13:42:18Z,OE4EIE-11,9A7KXP-4?,30(11/5),1,`,OE4EIE-11,/>,47.215833,16.227833,45.0,153.0,380.0,,,,Yaesu FTM-350,En Route,,
0,1602510155,2020-10-12T13:42:35Z,9A7KXP-1,9A7KXP-4,26(12/5),0,T,9A7KXP-1,/a,,,,,,,,,Open Track,,"Seq=38, A1=494, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602510264,2020-10-12T13:44:24Z,9A7KXP-5,9A7KXP-4?,25(11/5),1,`,9A7KXP-5,/>,45.809167,16.261833,27.0,67.0,105.0,144.725,,,Unknown manufacturer,Off Duty,,"144.725,438.750 FM,438,4625 Mhz C4FM   "
0,1602510326,2020-10-12T13:45:26Z,OE4EIE-11,9A7KXP-4?,31(11/5),1,`,OE4EIE-11,/>,47.201333,16.227167,2.0,66.0,334.0,,,,Yaesu FTM-350,En Route,,THOMAS SWIFT
0,1602510564,2020-10-12T13:49:24Z,9A7KXP-5,9A7KXP-4?,29(12/5),1,`,9A7KXP-5,/>,45.828333,16.292167,14.0,21.0,124.0,144.725,,,Unknown manufacturer,Off Duty,,"144.725,438.750 FM,438,4625 Mhz C4FM   "
0,1602510681,2020-10-12T13:51:21Z,E79VTR-11,9A7KXP-4?,26(12/5),1,T,E79VTR-11,/O,,,,,,,,,Open Track,,"Seq=82, A1=529, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602510724,2020-10-12T13:52:04Z,9A1AYZ-11,9A1AYZ-11,31(14/5),0,},9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1602510725,2020-10-12T13:52:05Z,9A1AYZ-11,9A1AYZ-11,47(13/5),0,},9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1602510833,2020-10-12T13:53:53Z,9A1DD-11,9A7KXP-4?,30(12/5),0,!,9A1DD-11,/#,45.033000,14.671500,,,,,,,UIdigi,,, (APRS KRK UIDIGI1.9B3) 1
0,1602511199,2020-10-12T13:59:59Z,9A1AYZ-11,9A1AYZ-11,30(15/5),0,T,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=194, A1=230, A2=159, A3=0, A4=1, A5=135, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602511235,2020-10-12T14:00:35Z,S59GCD-12,9A7KXP-4,36(11/5),1,=,S59GCD-12,L#,46.183167,15.208167,,,,,,,DIGI_NED,,,DIGI_NED: Malic
0,1602511245,2020-10-12T14:00:45Z,9A9HI-1,9A7KXP-4,28(12/5),1,',9A9HI-1,/>,46.058333,16.161500,37.0,309.0,177.0,,,,Kenwood TM-D700,Custom-1,,"73!9A3TON,9A3BEL,9A3HAK !"
0,1602511255,2020-10-12T14:00:55Z,9A5TD-11,9A7KXP-4?,27(12/5),1,!,9A5TD-11,S#,45.356833,13.937833,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,, (APRS DIGI UIDIGI 1.9B3) 1
0,1602511343,2020-10-12T14:02:23Z,S57U-6,9A7KXP-4,29(13/5),1,!,S57U-6,/_,45.867000,15.175500,,,,,,,Telemetry devices,,,
0,1602511517,2020-10-12T14:05:17Z,S59DTB-10,9A7KXP-4?,26(12/5),0,@,S59DTB-10,/-,46.613500,16.044667,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=12.8V,T=22.5C/72.5F"
0,1602511561,2020-10-12T14:06:01Z,9A9HI-1,9A7KXP-4,27(12/5),1,',9A9HI-1,/>,46.052000,16.085667,32.0,272.0,167.0,,,,Kenwood TM-D700,Custom-1,,"73!9A3TON,9A3BEL,9A3HAK !"
0,1602511622,2020-10-12T14:07:02Z,9A9HI-1,9A7KXP-4,31(11/5),1,',9A9HI-1,/>,46.052500,16.078333,33.0,288.0,165.0,,,,Kenwood TM-D700,Custom-1,,"73!9A3TON,9A3BEL,9A3HAK !"
0,1602511630,2020-10-12T14:07:10Z,9A1AYZ-11,9A1AYZ-11,32(13/5),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 3.8C / 14.0V
0,1602512067,2020-10-12T14:14:27Z,9A7KXP-10,9A7KXP-4,31(11/5),0,>,9A7KXP-10,/<,,,,,,,,,UIview 32 bit apps,,,"Windows 10,Kenwood tm-v71,10W,antena MA-1500"
0,1602512076,2020-10-12T14:14:36Z,9A7KXP-10,9A7KXP-4,28(11/5),1,<,9A7KXP-10,/<,,,,,,,,,UIview 32 bit apps,,,"IGATE,MSG_CNT=101,LOC_CNT=58"
0,1602512670,2020-10-12T14:24:30Z,9A7KXP-1,9A7KXP-4,26(11/5),1,T,9A7KXP-1,/a,,,,,,,,,Open Track,,"Seq=39, A1=494, A2=0, A3=0, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602513135,2020-10-12T14:32:15Z,9A7KXP-11,9A7KXP-4,28(12/5),1,T,9A7KXP-11,/O,,,,,,,,,Open Track,,"Seq=13, A1=112, A2=118, A3=114, A4=0, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602513249,2020-10-12T14:34:09Z,9A7KXP-12,9A7KXP-4?,30(12/5),1,!,9A7KXP-12,/2,44.993000,15.265667,,,,,,,Open Track,,, 12.0V 11C Solarni APRS digi Lika-Brinje asl 975m CRLNet.075
0,1602513332,2020-10-12T14:35:32Z,IQ4JO,9A7KXP-4?,31(12/5),1,',IQ4JO,/-,43.999167,12.630000,0.0,,,,,,Kenwood TM-D700,Off Duty,,CISAR RICCIONE
0,1602513369,2020-10-12T14:36:09Z,9A1AYZ-11,9A1AYZ-11,34(13/6),0,>,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,http://crlnet.it - CRLNet.103 WX3IN1 Plus 2.0 v1.13 / 4.0C / 14.0V
0,1602513854,2020-10-12T14:44:14Z,9A1AYZ-11,9A1AYZ-11,30(14/5),0,C,9A1AYZ-11,/O,,,,,,,,,,,,
0,1602513900,2020-10-12T14:45:00Z,9A1AYZ-11,9A1AYZ-11,45(14/5),0,T,9A1AYZ-11,/O,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=204, A1=217, A2=146, A3=0, A4=1, A5=136, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1602514932,2020-10-12T15:02:12Z,S56CT-9,9B7KXP-4?,29(12/5),1,x,S56CT-9,/>,,,,,,,,,,,,
